ticker,n_days,n_anomalies,anomaly_rate,earliest_anomaly,latest_anomaly,worst_anomaly_score
AAPL,437,22,0.05034324942791762,2025-04-03,2026-07-31,-0.17845492211569258
GOOGL,437,22,0.05034324942791762,2024-12-10,2026-08-11,-0.11671276709842926
MSFT,437,22,0.05034324942791762,2025-01-30,2026-08-27,-0.1955451485220958
TSLA,437,22,0.05034324942791762,2025-03-10,2026-07-23,-0.15688469341048406
