ticker,alpha,beta,persistence (alpha+beta),1day_vol_forecast
AAPL,0.08380263582650627,0.8624545787490892,0.9462572145755954,0.01528631403598764
GOOGL,0.011227240933626344,0.9236552562993584,0.9348824972329848,0.02035903686295399
MSFT,0.10282423218556377,0.8805664444076039,0.9833906765931677,0.02090836099853452
TSLA,0.03825668476062222,0.9518804792958799,0.9901371640565022,0.03324910458768621
