timestamp,ticker,p,q,aic,bic,log_likelihood
2026-09-08T22:49:42,AAPL,1,1,1721.291,1737.611,-856.646
2026-09-08T22:49:42,AAPL,1,2,1720.957,1741.357,-855.479
2026-09-08T22:49:42,AAPL,2,1,1723.291,1743.691,-856.646
2026-09-08T22:49:42,AAPL,2,2,1722.957,1747.437,-855.479
