timestamp,ticker,contamination,n_anomalies,avg_anomaly_score
2026-09-08T22:49:40,AAPL,0.01,5,-0.036855
2026-09-08T22:49:40,AAPL,0.03,14,-0.039599
2026-09-08T22:49:41,AAPL,0.05,22,-0.061509
2026-09-08T22:49:41,AAPL,0.08,35,-0.061631
2026-09-08T22:49:42,AAPL,0.1,44,-0.053927
