Date,Close,High,Low,Open,Volume,return,log_return,rolling_vol_5d,rolling_vol_21d,rolling_vol_63d,rolling_mean_5d,zscore_5d,rolling_mean_21d,zscore_21d
2024-12-24,256.3397827148437,256.34969006633503,253.4507293352449,253.64930053302467,23234700,0.011478222084571055,0.0114128470770966,0.01530360985797997,0.00877245251936711,0.011234818967325534,251.33606872558593,1.2126886706086013,243.88441467285156,1.7864551953470962
2024-12-26,257.15380859375,258.2260444048055,255.77383898408215,256.32980188696064,27237100,0.0031755737259551164,0.003170542240797946,0.0065475436962352885,0.008616550003620315,0.011229294114083025,253.51425170898438,1.0047427135484202,245.1206795828683,1.7412843690249602
2024-12-27,253.74853515625,256.836144148833,251.2367643772991,255.97238682838488,42355300,-0.013242166064433514,-0.013330625341669195,0.011931981145011209,0.009435195630991806,0.011395552222171732,254.6658935546875,-0.4675868518486465,246.09125482468377,1.1599321808327114
2024-12-30,250.3829498291016,251.6735866364952,248.94339979921563,250.4127324736,35557500,-0.013263467018936659,-0.013352212385302112,0.011060237085683348,0.010130894254085603,0.01123811862758772,254.2111846923828,-1.4299717579616822,246.907710484096,0.582946456793435
2024-12-31,248.61578369140625,251.45517870098837,247.6329109442556,250.62123433005317,39480700,-0.007057853335866171,-0.007082877798226269,0.010872757173872394,0.010251612707496732,0.010580310409577558,253.2481719970703,-1.2523292123027008,247.52655319940476,0.20256979498423147
2025-01-02,242.0931396484375,247.3053149666319,240.0777664039773,247.1365264348607,55740700,-0.026235840484950756,-0.026586140680771416,0.010829231119157711,0.011919257615763859,0.011160459759340297,250.39884338378906,-1.4624720516105079,247.72794886997767,-1.1119862876348328
2025-01-03,241.6066436767578,242.42072787413275,240.14723350152744,241.6066436767578,40244100,-0.002009540511499708,-0.002011562347127869,0.009208479382275576,0.011616250134479419,0.011140980972078978,247.28941040039064,-1.072293564442636,247.76151384626115,-1.2255832680268766
2025-01-06,243.23483276367188,245.54804748087852,241.4477983095151,242.549801627174,45045600,0.006739007926836571,0.006716402315682618,0.012512919975357285,0.01170234351085381,0.011152506323992315,245.186669921875,-0.4843539337556701,247.85559300013952,-0.9408276220573353
2025-01-07,240.4649353027344,243.78086767976052,239.6111308132576,241.2293767098772,40856000,-0.011387749975879102,-0.011453086901282222,0.012355247956241313,0.01198470871668448,0.010845772754722599,243.20306701660155,-0.8597014688319993,247.8163532075428,-1.4793327171858672
2025-01-08,240.951416015625,241.9541489627904,238.32051453305576,240.1770368943837,37628900,0.002023083790899216,0.002021040112777244,0.013182677798970184,0.011992941791662935,0.010630584884340924,241.67019348144532,-0.670241118152535,247.80973525274368,-1.3774758704830508
