Date,Close,High,Low,Open,Volume,return,log_return,rolling_vol_5d,rolling_vol_21d,rolling_vol_63d,rolling_mean_5d,zscore_5d,rolling_mean_21d,zscore_21d
2024-12-23,430.6000061035156,434.510009765625,415.4100036621094,431.0,72698100,0.022657123925894362,0.02240426356053564,0.04878051952169386,0.03719972092798888,0.04601100507748684,441.5640014648437,-0.4856894750241087,393.96666753859745,0.8129811960809216
2024-12-24,462.2799987792969,462.7799987792969,435.1400146484375,435.8999938964844,59551800,0.07357174228224572,0.07099116636191981,0.05928102058962281,0.039056179399976326,0.04668250880101951,438.0480041503906,1.581464682229169,399.1914295014881,1.3607943948020718
2024-12-26,454.1300048828125,465.3299865722656,451.0199890136719,465.1600036621094,76366400,-0.017629994630971146,-0.017787254049436575,0.04179325275382932,0.037802581419267525,0.04673827506467041,440.84800415039064,0.7818990125378121,404.6933346702939,1.0826970298146907
2024-12-27,431.6600036621094,450.0,426.5,449.5199890136719,82666800,-0.04947922616674816,-0.05074526160258332,0.04912890734813642,0.04026554149076079,0.0473006829645945,439.9460021972656,-0.47588471337567767,409.1423819405692,0.519384878883464
2024-12-30,417.4100036621094,427.0,415.75,419.3999938964844,64941000,-0.03301209257078741,-0.03356928885086787,0.048849006313167694,0.04104582891730374,0.04758863872010381,439.21600341796875,-1.1820726054925788,413.1671433221726,0.10690011622366839
2024-12-31,403.8399963378906,427.9299926757813,402.5400085449219,423.7900085449219,76825100,-0.03251001941775111,-0.03305021011916344,0.04828846740201416,0.041678034773928264,0.047787768227718005,433.86400146484374,-1.2269492846348304,415.961428687686,-0.33110820890739856
2025-01-02,379.2799987792969,392.7300109863281,373.0400085449219,390.1000061035156,109710700,-0.06081615932376483,-0.06274403546918701,0.017427895621843652,0.04388861562898511,0.048300054029978466,417.2640014648438,-1.3451761896894785,417.0180954706101,-1.074724810202587
2025-01-03,410.4400024414063,411.8800048828125,379.4500122070313,381.4800109863281,95423300,0.08215567328200035,0.07895504556688626,0.05682999225406396,0.04665152393098652,0.04885686068645221,408.5260009765625,0.09900182528816918,419.82857113792784,-0.29516779927584624
2025-01-06,411.0499877929688,426.4299926757813,401.7000122070313,423.2000122070313,85516500,0.0014861742226248698,0.0014850709586745647,0.05457433467753632,0.046598532354310614,0.048713356209824706,404.40399780273435,0.44774395191443156,422.3580947149368,-0.39555179152959047
2025-01-07,394.3599853515625,414.3299865722656,390.0,405.8299865722656,75699500,-0.040603340073111616,-0.04145067133894495,0.05553835637830377,0.04735294122051081,0.04877238276229175,399.793994140625,-0.4088039904117147,423.5423801967076,-1.0911655704125227
2025-01-08,394.9400024414063,402.5,387.3999938964844,392.9500122070313,73038800,0.0014707807875760093,0.0014697002488740785,0.05429989307468287,0.04600756078580308,0.04876977688723548,398.0139953613281,-0.2326869283086019,423.81476120721726,-1.0935682528907225
2025-01-10,394.739990234375,399.2799987792969,377.2900085449219,391.3999938964844,62287300,-0.0005064369418009695,-0.00050656522430214,0.043696217527128024,0.04600792343864943,0.04870138720803836,401.1059936523437,-0.7230584756106819,424.0504746210007,-1.1227642947377512
2025-01-13,403.30999755859375,403.7900085449219,380.0700073242188,383.2099914550781,67580500,0.021710512074366584,0.021478195369560783,0.023036238223574874,0.04582542865538206,0.048679963024009294,399.67999267578125,0.4921307295940691,424.1609511602493,-0.8017161460412895
2025-01-14,396.3599853515625,422.6400146484375,394.5400085449219,414.3399963378906,84565000,-0.017232432245921525,-0.017382638722844804,0.023554025930151466,0.04402037931729027,0.04708389258618756,396.7419921875,-0.10190132140111192,422.80809384300596,-0.9904093819951905
2025-01-15,428.2200012207031,429.7999877929688,405.6600036621094,409.8999938964844,81375500,0.08038151439752794,0.07731423282838396,0.036695764374672125,0.04726723201505277,0.04784966951428826,403.5139953613281,1.7339098682402814,423.2899983723958,0.18460060000914014
2025-01-16,413.8200073242188,424.0,409.1300048828125,423.489990234375,68335200,-0.03362756026209668,-0.03420597069137606,0.04322944003919871,0.046875765497082326,0.04817100803126917,407.28999633789067,0.46958014468080717,422.22285534086683,-0.31576632832897383
